0.56,0.75,11.45,gesture_2
0.69,0.32,9.25,gesture_2
0.62,0.24,9.5,gesture_2
0.67,0.3,9.32,gesture_2
0.68,0.27,9.28,gesture_2
0.6,0.9,10.5,gesture_2
0.69,0.31,9.21,gesture_2
0.61,0.26,6.12,gesture_2
0.65,0.28,9.28,gesture_2
0.67,0.29,9.29,gesture_2
0.59,0.35,10.29,gesture_2
0.73,0.31,9.27,gesture_2
0.39,0.03,7.43,gesture_2
0.67,0.28,9.25,gesture_2
0.65,0.28,9.3,gesture_2
0.66,0.28,9.41,gesture_2
0.63,0.21,8.73,gesture_2
0.61,0.89,11.06,gesture_2
0.71,0.35,9.23,gesture_2
0.65,0.27,9.46,gesture_2
0.68,0.29,9.3,gesture_2
0.44,0.15,7.44,gesture_2
0.49,0.57,10.54,gesture_2
0.63,0.35,9.16,gesture_2
0.62,0.27,9.43,gesture_2
0.65,0.3,9.35,gesture_2
0.73,1.07,10.87,gesture_2
0.69,0.29,9.28,gesture_2
0.95,-1.02,10.81,gesture_2
0.7,0.3,9.07,gesture_2
0.66,0.28,9.33,gesture_2
0.66,0.27,9.37,gesture_2
0.32,0.39,6.66,gesture_2
0.71,0.85,10.84,gesture_2
0.7,0.3,9.27,gesture_2
0.63,0.27,9.42,gesture_2
0.66,0.31,9.34,gesture_2
0.7,0.83,10.49,gesture_2
0.63,0.34,9.25,gesture_2
0.37,0.47,7.3,gesture_2
0.66,0.31,9.22,gesture_2
0.67,0.31,9.3,gesture_2
0.62,0.27,9.41,gesture_2
0.15,0.43,6.4,gesture_2
0.69,2,11.91,gesture_2
0.65,0.31,9.45,gesture_2
0.63,0.25,9.44,gesture_2
0.06,1.88,12.03,gesture_2
0.7,0.3,9.5,gesture_2
0.36,0.22,7.55,gesture_2
0.68,0.29,9.23,gesture_2
0.65,0.3,9.32,gesture_2
0.65,0.26,9.41,gesture_2
0.67,0.73,10.61,gesture_2
0.73,0.27,9.38,gesture_2
0.56,-0.22,11.59,gesture_2
0.7,0.3,9.12,gesture_2
0.68,0.3,9.33,gesture_2
0.59,0.77,10.45,gesture_2
0.64,0.32,9.19,gesture_2
0.32,0.33,6.57,gesture_2
0.63,0.3,9.35,gesture_2
0.68,0.31,9.28,gesture_2
0.93,0.74,10.64,gesture_2
0.67,0.31,9.19,gesture_2
0.43,0.25,6.88,gesture_2
0.64,0.26,9.34,gesture_2
0.68,0.31,9.28,gesture_2
0.36,2.01,11.87,gesture_2
0.61,0.35,9.5,gesture_2
0.25,1.5,10.57,gesture_2
0.64,0.34,9.02,gesture_2
0.66,0.3,9.38,gesture_2
0.37,0.85,10.1,gesture_2
0.71,0.37,9.6,gesture_2
0.92,0.36,10.27,gesture_2
0.66,0.34,8.85,gesture_2
0.62,0.27,9.38,gesture_2
0.9,1.24,10.51,gesture_2
0.69,0.32,9.33,gesture_2
0.18,1.21,10.36,gesture_2
