Timestamp,SensorData
130975734,6738,1.40,0.71,10.08

130975750,5
130975750,6751,1.35,0.69,9.42

130975765,5
130975765,6764,1.41,0.69,9.33

130975781,5
130975781,6777,1.34,0.66,9.42

130975796,5
130975796,6790,1.30,0.67,9.57

130975812,5
130975812,6803,1.32,0.66,9.53

130975812,5
130975812,6816,1.33,0.63,9.63

130975828,5
130975828,6829,1.37,0.65,10.08

130975843,5
130975843,6842,1.22,0.12,10.59

130975859,5
130975859,6855,1.75,1.31,8.77

130975875,5
130975875,6868,1.28,0.43,7.31

130975890,5
130975890,6881,1.47,0.46,9.38

130975890,5
130975906,6894,1.41,0.48,9.23

130975906,5
130975906,6907,1.39,0.49,9.29

130975921,5
130975921,6920,1.38,0.52,9.33

130975937,5
130975937,6933,1.37,0.49,9.33

130975953,5
130975953,6946,1.37,0.46,9.39

130975968,5
130975968,6959,1.36,0.45,9.40

130975968,5
130975968,6972,1.35,0.49,9.40

130975984,5
130975984,6985,1.39,0.49,9.37

130976000,5
130976000,6998,1.39,0.46,9.32

130976015,5
130976015,7011,-1.28,-1.93,-4.67

130976031,5
130976031,7024,1.91,1.35,12.08

130976046,5
130976046,7037,1.29,0.68,9.97

130976046,5
130976062,7050,1.33,0.77,9.57

130976062,5
130976062,7063,1.36,0.64,9.37

130976078,5
130976078,7076,1.26,0.66,9.46

130976093,5
130976093,7089,1.31,0.65,9.53

130976109,5
130976109,7102,1.27,0.65,9.56

130976125,5
130976125,7115,1.29,0.66,9.55

130976125,5
130976125,7128,1.34,0.69,9.73

130976140,5
130976140,7141,1.26,0.73,10.07

130976156,5
130976156,7154,1.07,0.30,10.33

130976171,5
130976171,7167,1.32,0.48,8.03

130976187,5
130976187,7180,1.42,0.43,8.14

130976203,5
130976203,7193,1.44,0.48,9.27

130976203,5
130976203,7206,1.40,0.52,9.34

130976218,5
130976218,7219,1.37,0.51,9.29

130976234,5
130976234,7232,1.37,0.51,9.31

130976250,5
