acceleration.x,acceleration.y,acceleration.z,gesture
0.54,0.5,9.37,gesture_1
0.5,0.61,9.42,gesture_1
0.54,0.49,9.16,gesture_1
0.76,-0.25,12.56,gesture_1
0.51,0.27,10.07,gesture_1
0.56,0.53,9.24,gesture_1
0.41,0.59,9.77,gesture_1
0.61,0.57,9.27,gesture_1
0.82,-0.8,15.37,gesture_1
0.57,0.46,9.9,gesture_1
0.54,0.52,9.32,gesture_1
0.47,0.77,9.59,gesture_1
0.56,0.53,9.4,gesture_1
0.52,1.07,10.06,gesture_1
0.31,1.02,7.67,gesture_1
0.89,-1.3,-10.62,gesture_1
0.51,0.17,9.79,gesture_1
0.55,0.5,9.36,gesture_1
1.63,0.03,9.38,gesture_2
1.63,0.02,9.34,gesture_2
1.61,0,9.38,gesture_2
0.61,-1.47,9.76,gesture_2
1.61,0.05,9.3,gesture_2
1.63,0.05,9.32,gesture_2
1.61,0.05,9.38,gesture_2
1.61,0.04,9.38,gesture_2
1.61,0.05,9.37,gesture_2
1.55,0.33,10.34,gesture_2
1.61,0.06,9.42,gesture_2
0.46,0.53,11.33,gesture_2
1.66,0.05,9.31,gesture_2
1.64,0.03,9.32,gesture_2
1.96,0.8,10.9,gesture_2
1.98,0.69,10.88,gesture_2
1.62,0.04,9.26,gesture_2
1.62,0.09,9.32,gesture_2
0.56,0.48,9.86,gesture_2
0.67,0.16,9.23,gesture_2
0.24,1.98,11.12,gesture_2
0.6,0.1,9.29,gesture_2
0.65,0.11,9.27,gesture_2
0.09,-0.96,10.55,gesture_2
0.75,0.62,10.3,gesture_2
0.65,0.08,9.33,gesture_2
0.65,0.11,9.47,gesture_2
0.69,0.66,9.9,gesture_2
0.69,0.14,9.26,gesture_2
0.68,0.34,6.42,gesture_2
0.64,0.16,9.38,gesture_2
0.69,0.14,9.28,gesture_2
0.29,-0.12,7.02,gesture_2
0.5,0.42,10.26,gesture_2
0.72,0.2,9.19,gesture_2
0.62,0.12,9.45,gesture_2
0.06,-0.98,10.04,gesture_2
0.65,0.62,10.38,gesture_2
0.66,0.07,9.43,gesture_2
0.61,0.14,9.45,gesture_2
0.71,0.66,10.13,gesture_2
0.74,-1.68,14.9,gesture_2
0.48,-0.05,7,gesture_2
0.63,0.14,9.36,gesture_2
0.81,0.59,10.59,gesture_2
0.6,0.05,9.33,gesture_2
0.86,0.62,10.15,gesture_2
0.63,0.19,9.06,gesture_2
0.61,0.12,9.4,gesture_2
0.69,0.03,8.73,gesture_2
0.71,0.59,10.83,gesture_2
0.71,0.21,9.25,gesture_2
0.6,0.13,9.44,gesture_2
0.36,0,11.05,gesture_2
0.49,1.49,13.12,gesture_2
0.66,0.18,9.56,gesture_2
0.65,0.61,11.26,gesture_2
0.67,0.12,8.97,gesture_2
0.85,0.03,9.26,gesture_2
